"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2024","14.45","14.32","14.50","14.27","13.47M","2.05%"
"10/17/2024","14.16","14.14","14.40","14.06","16.44M","0.35%"
"10/16/2024","14.11","14.13","14.30","14.00","18.52M","-0.49%"
"10/15/2024","14.18","14.73","14.76","14.08","24.06M","-3.41%"
"10/14/2024","14.68","14.03","14.74","13.95","35.59M","7.08%"
"10/11/2024","13.71","13.51","13.75","13.48","18.93M","2.08%"
"10/10/2024","13.43","13.25","13.50","13.15","16.03M","0.75%"
"10/09/2024","13.33","13.45","13.50","13.15","26.49M","-1.04%"
"10/08/2024","13.47","13.20","13.60","13.18","25.70M","2.43%"
"10/07/2024","13.15","13.18","13.27","13.00","21.06M","-0.60%"
"10/04/2024","13.23","13.25","13.40","12.98","22.82M","0.99%"
"10/03/2024","13.10","13.06","13.16","12.89","33.66M","-0.91%"
"10/02/2024","13.22","13.64","13.71","13.17","33.07M","-1.56%"
"10/01/2024","13.43","13.70","13.72","13.38","27.31M","-1.61%"
"09/30/2024","13.65","13.79","13.83","13.58","30.93M","-1.59%"
"09/27/2024","13.87","13.86","13.99","13.64","31.77M","0.36%"
"09/26/2024","13.82","14.82","14.85","13.78","48.54M","-6.50%"
"09/25/2024","14.78","14.72","15.00","14.65","27.49M","-0.14%"
"09/24/2024","14.80","14.77","14.99","14.71","16.93M","0.75%"
"09/23/2024","14.69","14.61","14.95","14.61","19.31M","0.41%"
"09/20/2024","14.63","14.76","14.93","14.44","38.36M","-1.15%"
"09/19/2024","14.80","15.02","15.10","14.65","29.88M","-0.34%"
"09/18/2024","14.85","15.15","15.16","14.77","23.71M","-1.92%"
"09/17/2024","15.14","14.94","15.16","14.88","23.69M","1.68%"
"09/16/2024","14.89","14.75","15.02","14.74","23.98M","1.02%"
"09/13/2024","14.74","14.56","14.77","14.41","26.34M","1.59%"
"09/12/2024","14.51","14.31","14.54","14.13","22.43M","1.61%"
"09/11/2024","14.28","13.79","14.35","13.78","28.36M","4.01%"
"09/10/2024","13.73","13.88","13.95","13.67","25.09M","-0.58%"
"09/09/2024","13.81","13.87","14.15","13.71","31.06M","0.80%"
"09/06/2024","13.70","14.33","14.44","13.42","48.55M","-4.46%"
"09/05/2024","14.34","14.15","14.35","14.01","37.44M","0.70%"
"09/04/2024","14.24","14.85","14.85","14.22","48.74M","-4.04%"
"09/03/2024","14.84","14.74","15.10","14.69","70.09M","-0.87%"
"08/30/2024","14.97","14.27","15.06","14.27","561.76M","5.20%"
"08/29/2024","14.23","14.22","14.52","14.15","38.49M","-0.49%"
"08/28/2024","14.30","14.67","14.76","13.90","35.02M","-2.72%"
"08/27/2024","14.70","14.39","14.76","14.36","38.26M","0.48%"
"08/26/2024","14.63","14.41","14.85","14.40","36.20M","1.46%"
"08/23/2024","14.42","14.45","14.51","14.27","29.37M","1.48%"
"08/22/2024","14.21","14.49","14.65","14.12","39.56M","-1.32%"
"08/21/2024","14.40","14.44","14.61","14.30","35.45M","-0.35%"
"08/20/2024","14.45","14.45","14.50","14.31","31.43M","0.00%"
"08/19/2024","14.45","14.11","14.46","14.07","39.38M","2.56%"
"08/16/2024","14.09","13.71","14.30","13.68","43.06M","2.25%"
"08/15/2024","13.78","13.44","14.01","13.41","43.34M","2.99%"
